id,created_at,last_reviewed,issue_type,module,title,root_cause,anti_patterns,required_tests,severity,tags
KB-001,2024-01-10,2024-07-01,race_condition,async,"Promise 并发修改共享状态导致数据错乱","多个并发 Promise 共同写入同一个对象字段，未加锁","直接 await 多个 Promise 后写入同一变量；使用全局变量存储异步中间结果","并发写入压测；相同参数并发调用 10 次验证结果一致性",HIGH,"async,promise,race"
KB-002,2024-01-15,2024-07-01,null_reference,api,"接口返回 null 未处理导致页面白屏","后端接口在边界条件下返回 null，前端未做防御性判断","直接访问 response.data.xxx 而不判断 response.data 是否存在","null 值 mock 测试；接口返回空数组/null/undefined 的 UI 展示",MEDIUM,"null,api,frontend"
KB-003,2024-02-01,2024-07-01,state_mutation,react,"直接 mutate Redux state 导致视图不更新","在 reducer 外部直接修改 state 对象引用","state.list.push(item)；state.user.name = 'xxx'","Redux DevTools 验证 action 前后 state diff；不可变性单元测试",HIGH,"react,redux,immutable"
KB-004,2024-02-10,2024-07-01,memory_leak,react,"useEffect 未清理订阅导致内存泄漏","组件卸载后异步回调仍然尝试 setState","useEffect 内部的定时器、事件监听未在 return 函数中清理","组件挂载/卸载循环测试；内存快照对比",MEDIUM,"react,useEffect,memory"
KB-005,2024-02-20,2024-07-01,sql_injection,database,"拼接 SQL 字符串导致注入风险","未使用参数化查询，直接将用户输入拼接进 SQL","db.query('SELECT * FROM users WHERE id=' + userId)","SQL 注入 Payload 测试；代码审查必须使用 ORM 或参数化查询",CRITICAL,"security,sql,injection"
KB-006,2024-03-01,2024-07-01,circular_dependency,module,"循环依赖导致模块初始化为 undefined","A 导入 B，B 导入 A，某个模块在初始化时读取到 undefined","模块间相互导入工具函数；index.ts 桶文件导出循环","启动时检测循环依赖；使用 madge 工具扫描",HIGH,"module,circular,import"
KB-007,2024-03-10,2024-07-01,timezone,datetime,"时区处理不一致导致日期偏移","服务端返回 UTC 时间戳，前端未转换直接展示","new Date(timestamp) 直接格式化；不同环境时区不同","UTC/CST 两种环境下的时间展示测试；时区边界值测试",MEDIUM,"datetime,timezone,utc"
KB-008,2024-03-20,2024-07-01,pagination,list,"分页数据竞争导致列表错乱","快速翻页时，旧请求的响应比新请求晚返回，覆盖了新数据","每次请求直接覆盖列表数据；无请求取消机制","快速翻页压测；AbortController 取消旧请求验证",MEDIUM,"pagination,race,list"
KB-009,2024-04-01,2024-07-01,token_expiry,auth,"Token 过期后未刷新导致 401 循环","Token 刷新逻辑未处理并发请求，多个请求同时触发刷新","每个请求独立处理 401，未使用请求队列","并发 5 个请求同时 401 的刷新逻辑测试",HIGH,"auth,token,refresh"
KB-010,2024-04-10,2024-07-01,form_validation,ui,"表单提交前未禁用按钮导致重复提交","提交按钮未在请求期间禁用，用户可多次点击","onClick 直接调用提交函数，无 loading 状态","快速双击提交按钮测试；网络慢速模拟下的提交测试",MEDIUM,"form,submit,duplicate"
KB-011,2024-04-20,2024-07-01,large_list,performance,"大列表未虚拟化导致页面卡顿","一次性渲染 1000+ 条数据，DOM 节点过多","map 直接渲染所有数据；无分页或虚拟滚动","1000 条数据渲染性能测试；FPS 监控",MEDIUM,"performance,list,virtual"
KB-012,2024-05-01,2024-07-01,error_boundary,react,"未捕获的渲染错误导致整页白屏","子组件抛出异常未被 ErrorBoundary 捕获","无 ErrorBoundary 包裹关键业务组件","故意抛出错误验证 ErrorBoundary 是否生效",HIGH,"react,error,boundary"
KB-013,2024-05-10,2024-07-01,websocket,realtime,"WebSocket 断线后未重连导致数据停止更新","网络波动后 WebSocket 连接断开，未实现自动重连","onclose 事件未处理；无心跳机制","模拟网络断开后的重连测试；心跳超时测试",HIGH,"websocket,reconnect,realtime"
KB-014,2024-05-20,2024-07-01,cache_invalidation,cache,"缓存未失效导致用户看到旧数据","更新操作成功后未清除相关缓存","写操作后未调用 queryClient.invalidateQueries；缓存 key 不一致","写操作后验证缓存是否清除；多 Tab 数据一致性测试",MEDIUM,"cache,invalidation,stale"
KB-015,2024-06-01,2024-07-01,decimal_precision,finance,"浮点数精度丢失导致金额计算错误","直接使用 JS 浮点数进行金额运算","0.1 + 0.2 直接用于金融计算；未使用 Decimal.js","金额边界值计算测试；与后端计算结果对比",CRITICAL,"finance,decimal,precision"
KB-016,2024-06-10,2024-07-01,cors,network,"跨域请求未携带 Cookie 导致认证失败","fetch 请求未设置 credentials: include","fetch(url) 未配置 credentials；axios 未设置 withCredentials","跨域认证接口测试；Cookie 携带验证",MEDIUM,"cors,cookie,credentials"
KB-017,2024-06-20,2024-07-01,deep_copy,object,"对象浅拷贝导致意外的引用共享","使用 Object.assign 或展开运算符拷贝嵌套对象","const copy = {...original}（含嵌套对象）；修改 copy 影响 original","嵌套对象修改隔离测试",MEDIUM,"object,copy,reference"
KB-018,2024-07-01,2024-07-01,env_variable,config,"环境变量未注入导致生产环境功能异常","新增环境变量未同步到生产环境配置","只在 .env.local 中配置，未更新 .env.example 和部署文档","环境变量完整性检查脚本；部署前 checklist",HIGH,"env,config,deploy"
KB-019,2024-07-05,2024-07-05,xss,security,"未转义的用户输入导致 XSS 漏洞","将用户输入直接插入 DOM 或 dangerouslySetInnerHTML","innerHTML = userInput；dangerouslySetInnerHTML={{ __html: userInput }}","XSS Payload 注入测试；CSP 策略验证",CRITICAL,"security,xss,sanitize"
KB-020,2024-07-10,2024-07-10,import_order,module,"动态导入顺序依赖导致初始化失败","模块 A 的初始化依赖模块 B 的副作用，但加载顺序不确定","顶层 await 依赖其他模块的全局状态；插件注册顺序敏感","不同导入顺序下的集成测试；启动顺序压测",HIGH,"module,import,init"
